TITULO,DESCRIPCION,URL,INDICADOR_CODIGO,IMAGE,TIPO
"La priorización en salud paso a paso: Cómo articulan sus procesos México, Brasil y Colombia","Este documento aborda la priorización en salud, los procesos que la integran, los actores que involucra y su relación con las diferentes políticas públicas que deben ser articuladas e implementadas de una manera armónica. Además, ofrece recomendaciones útiles para aquellos países que todavía no hayan iniciado sus procesos de priorización en salud o que estén en proceso de construirlos o mejorarlos.",http://bit.ly/bid-md-ACSAL-1,ACSAL,8875,PUB
Blog: Gente Saludable ,Los países de América Latina y el Caribe se enfrentan a grandes retos para garantizar la salud de sus ciudadanos. Descubre en este blog diferentes temas de actualidad para mejorar la salud de la región.,http://bit.ly/bid-md-ACSAL-BLOG,ACSAL,ACSAL-BLOG,PUB
Conectando los puntos: Una hoja de ruta para una mejor integración de América Latina y el Caribe,"Unir los puntos: Una hoja de ruta para una mejor integración de América Latina y el Caribe delinea un curso de acción para que la región alcance la esquiva meta de la integración regional y destaca que, para concretar cualquier esfuerzo de integración significativo, Argentina, México y Brasil son actores clave.",http://bit.ly/bid-md-APCOM-1,APCOM,8912,PUB
Blog: Más allá de las fronteras,"Comparte puntos de vista, reflexiones y noticias sobre el papel del comercio, la inversión, la cooperación y la integración regional como herramienta clave para el desarrollo de América Latina y el Caribe. ",http://bit.ly/bid-md-APCOM-BLOG,APCOM,APCOM-BLOG,PUB
Programa P Bolivia: Un manual para la paternidad activa,"Entérate del Programa P, una iniciativa que promueve la participación activa de los hombres en el cuidado de sus hijos e hijas y en las tareas domésticas, así como las relaciones equitativas en el hogar y la prevención de la violencia hacia mujeres, niños y niñas.",http://bit.ly/bid-md-BRGEN-1,BRGEN,BRGEN-1,PUB
"Como marcar tres dígitos reduce la violencia íntima de pareja en Medellín, Colombia","Aprende sobre el programa Línea 123 - Mujer, del Programa Integral de Protección a Las Mujeres, de Medellín, Colombia. Un sistema de derivación de llamadas en casos de violencia contra la mujer que busca: disminuir la incidencia y prevalencia de la violencia contra la mujer; reducir los índices de revictimización de sobrevivientes; y modificar las percepciones sobre los roles tradicionales de género, entre otros. ",http://bit.ly/bid-md-BRGEN-2,BRGEN,BRGEN-2,PUB
El poder de la igualdad de género en el trabajo ,"Este informe compara datos de cuatro empresas de diferente tamaño y alcance, utilizando investigaciones del BID, RobecoSAM, Mercer y EDGE. El análisis demuestra la correlación entre las empresas que gestionan rigurosamente la igualdad de género, cuentan con una certificación de género y tienen una representación significativa de mujeres dentro de la empresa.",http://bit.ly/bid-md-BRGEN-3,BRGEN,BRGEN-3,PUB
Blog: ¿Y si hablamos de igualdad? ,"Porque no puede haber desarrollo sin igualdad de género y diversidad, compartamos ideas y soluciones para América Latina y el Caribe.",http://bit.ly/bid-md-BRGEN-blog,BRGEN,BRGEN-BLOG,PUB
FINTECH: Innovaciones que no sabías que eran de América Latina y Caribe,Este informe constituye un primer esfuerzo por describir de manera sistemática la actividad empresarial relativa a las Fintech en toda América Latina.,http://bit.ly/bid-md-INFIN-1,INFIN,8265,PUB
Descubriendo el velo sobre los datos de inversión en infraestructura en América Latina y el Caribe,¿Cómo evaluar la inversión en infraestructura de una manera homogénea y estandarizada? Descubre las alternativas existentes para medir la inversión en infraestructura y cómo mejorar la disponibilidad y calidad de los datos existentes en América Latina y el Caribe. ,http://bit.ly/bid-md-INFRA-1,INFRA,8786,PUB
Transparencia: Impulsando eficiencia en empresas proveedoras de servicios de agua y saneamiento,"La adopción de prácticas de transparencia es determinante para la eficiencia de los proveedores y reguladores de servicios de agua y saneamiento (AyS). Esta es una de las lecciones más relevantes de las reformas implementadas en el sector de agua y saneamiento en América Latina y el Caribe en los últimos 20 años. Como resultado, hay mayores y mejores inversiones, lo que se traduce en avances en la calidad y en un mayor acceso a estos servicios.",http://bit.ly/bid-md-INFRA-2,INFRA,INFRA-2,PUB
Blog: Energía para el Futuro,Este blog es un punto de encuentro para hablar y aprender sobre cómo planificar e imaginar un futuro de energía sostenible en América Latina y el Caribe. Su objetivo principal es proporcionar ejemplos e historias que ayuden a entender el papel esencial que la energía tiene para asegurar el futuro de la región.,http://bit.ly/bid-md-INFRA-BLOG,INFRA,INFRA-BLOG,PUB
  Blog: Moviliblog,"Descubre cómo promover el desarrollo económico y calidad de vida de sus habitantes, a través de actividades de transporte e infraestructura. ",http://bit.ly/bid-md-INFRA-BLOG-2,INFRA,INFRA-BLOG-2,PUB
Blog: Volvamos a la fuente,"Aprende sobre los temas clave para las empresas de agua y saneamiento, como gestión del recurso hídrico, institucionalidad sectorial, y promoción de disposición adecuada de los residuos sólidos. Este es un espacio para discutir sobre los desafíos de América Latina y el Caribe, para contribuir a lograr acceso universal a los servicios de agua y saneamiento.",http://bit.ly/bid-md-INFRA-BLOG-3,INFRA,INFRA-BLOG-3,PUB
El futuro del trabajo: Perspectivas regionales,"¿Cómo la tecnología puede afectar en los próximos años a los mercados laborales en África, en Asia en desarrollo, en Europa emergente, Asia Central, el Sur y Oriente del Mediterráneo y en América Latina y el Caribe? Este estudio identifica políticas concretas que los países de estas cuatro regiones podrían tomar para enfrentar los desafíos y aprovechar las oportunidades que presentan estas nuevas tecnologías.",http://bit.ly/bid-md-PALAB-2,PALAB,8840,PUB
Blog: Factor Trabajo ,"Entérate cómo mejorar vidas con empleos de calidad para el desarrollo de América Latina y el Caribe. Descubre información sobre proyectos e investigaciones del BID, experiencias exitosas y análisis de las tendencias del mercado de trabajo.",http://bit.ly/bid-md-PALAB-BLOG,PALAB,PALAB-BLOG,PUB
Programas de transferencias monetarias condicionadas e inclusión financiera,"¿Qué lecciones se pueden obtener de las iniciativas de inclusión financiera?, y ¿cómo estas pueden ser incorporadas en Programas de Transferencias Monetarias Condicionadas (PTMC)? Descubre la respuesta en esta publicación. ",http://bit.ly/bid-md-INFIN-2,INFIN,INFIN-2,PUB
Microscopio global 2016: Análisis del entorno para la inclusión financiera,"¿Cómo las normas de los países de América Latina y el Caribe ayudan a promover la inclusión financiera? Entérate en el ""Microscopio global 2016"", un análisis con base en 12 indicadores en 55 países que permite evaluar la situación en nuestra región y el resto del mundo. ",http://bit.ly/bid-md-INFIN-3,INFIN,INFIN-3,PUB
Índice de Mejores Trabajos,¿Qué países de América Latina cuentan con las mejores condiciones para el empleo? Descúbrelo en el Índice de Mejores Trabajos del BID. ,http://bit.ly/bid-md-indice-PALAB-3,PALAB,PALAB-3,PUB
Empleos para Crecer,"El impulso del mercado laboral es clave para potenciar, tanto realizaciones personales, como las economías de América Latina y el Caribe. En esta publicación encontrarás un paquete integrado de medidas para potenciar el crecimiento de las personas y las economías de los países. ",http://bit.ly/bid-md-PALAB-4,PALAB,PALAB-4,PUB
Aprendices para el siglo XXI: ¿Un modelo para América Latina y el Caribe?,¿Cuáles son las mejores prácticas del mundo enlos programas de aprendices?  y ¿cómo pueden ser adaptadas y aplicadas a los países de América Latina y el Caribe? Entérate de las posibles soluciones para abordar estos retos en este estudio. ,http://bit.ly/bid-md-PALAB-5,PALAB,PALAB-5,PUB
Salud y Protección Social,Procesos y sistemas que utilizan los gobiernos para la toma de decisiones en salud.,https://www.youtube.com/embed/ULBVUNZAzzc,ACSAL,,VID
 Integración y Comercio,"Conoce cuáles son los ejes claves para una integración regional inteligente, competitiva, sostenible e inclusiva en América Latina y el Caribe.",https://www.youtube.com/embed/UnCHfFHAHQc,APCOM,,VID
Género y Diversidad,¿Cómo llevar adelante políticas públicas con una perspectiva de género? Te mostramos el caso de una reforma policial.,https://www.youtube.com/embed/77sj-l7RlwU,BRGEN,,VID
Inclusión financiera,¿Pueden las fintechs jugar un rol clave a la hora de promover la inclusión financiera? Mira esta charla.,https://www.youtube.com/embed/cSUYbc4OFIU,INFIN,,VID
Infraestructura,¿Qué relación hay entre una gestión fiscal subnacional eficiente y el nivel de inversión en obras públicas?,https://www.youtube.com/embed/AhpPrdJY_2I,INFRA,,VID
Mercados laborales,¿Cuánto está jugando la automatización en los indicadores de empleo? Todas las claves del futuro del trabajo en este charla.,https://www.youtube.com/embed/aFMB7yx_-yE,PALAB,,VID